pitch,energy,zero_crossings,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,lang
6.31E-05,0.055148873,81214,-277.5801,146.23824,-42.882458,46.03281,-2.1148634,20.855236,10.097573,-14.420072,16.03767,-14.369331,-3.5201635,-5.563009,-4.0581923,english
-1.02E-05,0.05016939,57357,-326.69373,139.08038,1.1926199,28.88495,19.262194,17.264088,-7.380106,5.661596,-5.3474026,0.1861342,0.15741132,-3.481282,-4.3001194,english
-0.000110288,0.05712243,82864,-460.5672,61.734337,19.017244,55.935368,9.830696,-1.2909273,10.2571945,-10.65131,-17.086393,-8.987157,-11.522283,-14.557632,-5.9474297,english
8.23E-05,0.022211872,107761,-373.09796,98.87576,-16.842299,11.799981,-0.11146584,4.641674,-17.367386,10.958947,-14.709691,-0.52246,-2.8713875,-13.88815,-11.24702,english
8.30E-05,0.023389624,132778,-367.9584,99.95428,-36.28057,20.28278,-0.080534995,5.287672,-17.201405,10.5498495,-17.179165,-1.1119026,-4.9294267,-3.8560376,-8.320977,english
0.000158982,0.02085473,114610,-363.54675,97.995316,-11.337799,16.700806,10.158487,16.776295,-1.7152075,7.8780446,-17.212126,9.747737,-10.103628,-7.9455895,-1.5683854,english
-2.69E-05,0.037369985,87750,-306.9486,119.707275,-19.662119,20.630886,4.096939,14.022817,-16.364037,12.007231,-14.06585,-0.011330985,-8.770602,-9.867521,-3.1448033,english
9.78E-06,0.058070082,94916,-353.24594,114.53089,-9.228914,15.178427,-0.014446704,-1.5002111,-10.750581,-6.023948,-13.841949,-9.315957,-2.7755206,-0.06309042,8.097635,english
0.000226445,0.035550192,79194,-400.60645,114.38035,12.299443,33.323162,23.152987,10.81009,-4.792267,-2.1294775,-4.9905343,-7.8353367,-1.0256586,-2.5242395,-4.795971,english
0.000162062,0.050629064,45604,-390.14893,136.31665,24.197996,11.325009,21.043097,20.305836,-2.793852,-9.125782,-3.1523523,-10.712669,-6.9534802,-2.4547164,-1.2579473,english
3.27E-06,0.052404195,69057,-375.20908,109.46718,12.427093,24.108547,16.7187,7.7443676,-14.236878,-5.726525,-11.244318,-13.698306,-3.469982,-3.222228,4.9645405,english
1.79E-07,0.060219556,68308,-334.25052,134.70561,11.1691475,37.27565,13.835926,13.3604,-4.6711826,-7.034569,-1.1834656,-12.64669,-4.901889,-1.3666216,0.54389197,english
5.80E-05,0.07654703,61095,-332.3357,118.695694,6.7703323,27.69794,25.886543,13.606682,-12.007415,2.730951,-2.833009,-5.8563614,-4.157517,-9.149321,-5.9538655,english
-5.46E-05,0.053294595,86016,-295.51236,118.70261,-21.105572,19.821604,7.550863,2.2199702,-21.527645,8.2631445,-6.6269507,7.657087,2.5862775,7.187021,-1.5123249,english
-3.10E-05,0.049399696,56516,-341.25177,129.99132,6.70263,34.35484,-2.7762291,30.297134,-4.720215,-4.4026194,-2.5254784,-7.4425426,-0.41757065,1.668373,1.6982163,english
-1.62E-05,0.06484447,123532,-373.4185,81.35303,1.5852557,32.504707,0.27766818,17.09687,-25.908873,-5.7646527,-1.1248062,-13.386466,-4.24961,-16.72055,1.9386537,english
-4.67E-05,0.024295332,82680,-383.99945,99.63757,7.9520435,16.159378,5.369317,22.371508,1.3930486,-8.327119,-8.992388,-1.4489821,-3.1327622,-7.170376,-7.357457,english
3.10E-07,0.04529498,91384,-376.77686,98.55749,8.393563,31.903238,8.0950575,20.99786,5.441623,8.989645,-0.043612294,-4.4231033,-11.921734,-0.8963603,-6.641581,english
-2.61E-05,0.034767326,107579,-318.20645,93.53302,-7.5165176,26.381603,7.348567,17.08614,2.5744228,10.085892,-31.187485,14.104602,-15.238068,-16.354631,0.10888775,english
-7.06E-06,0.028924292,111768,-349.71252,127.903694,-32.427235,12.006586,11.356371,4.6758,-9.4167385,-4.6182904,-9.777322,-10.637574,-5.753993,4.3720145,-10.721754,english
-4.25E-05,0.045464672,106772,-291.88138,113.686386,-22.11803,13.621811,5.567919,0.34455425,-16.830137,3.3164568,-22.080183,0.8370324,-7.3685102,1.4021231,-5.963572,english
-2.12E-05,0.0511614,77312,-379.0772,105.66851,-3.1383283,27.949106,15.636182,22.960129,-5.062953,-3.8944557,5.903724,-10.808187,-4.87395,0.16216737,-1.1768723,english
-5.10E-06,0.041535497,156650,-406.53107,67.01103,7.3835173,33.129913,-6.957942,12.089248,-7.2438273,1.6305773,7.88461,-11.602368,-9.46163,-2.296236,0.5777858,english
-0.001074673,0.07182277,65308,-317.8261,124.18419,4.8431873,37.912926,19.181753,15.912729,-14.054071,7.4831095,-6.397066,5.5806985,-3.6491427,-8.975027,-2.9455976,english
9.42E-06,0.060533978,112614,-312.40814,105.877716,-6.5713153,27.966272,3.2537577,22.880062,-23.670952,0.071853645,3.867921,-9.102537,-6.454901,-0.023998482,4.030348,english
0.000221194,0.037034508,129923,-340.09906,95.01488,-25.55289,16.8042,1.1161218,5.4571257,-13.586103,7.14611,-16.20873,4.430376,-7.1733847,-6.0859523,-6.4069104,english
0.000142495,0.045571778,101090,-370.9843,116.6941,-2.0958135,27.906857,4.552888,12.12895,-24.905514,-9.878975,9.2929325,-1.8642141,-10.101751,-4.390985,0.96470404,english
9.05E-05,0.037913784,83074,-389.08005,131.10103,7.6309247,33.980034,12.101549,19.411701,-8.819602,-8.173782,-3.0201185,-0.49054658,-2.8430076,-4.6795588,-2.6387675,english
-3.37E-05,0.042224377,85822,-325.4096,79.957985,-9.177393,31.989046,2.7570677,12.042027,-17.269518,0.45031968,-7.541994,-2.838575,2.5700521,-1.1282159,0.5382485,english
4.67E-06,0.043732606,96059,-337.8076,104.804344,-3.8159754,31.023748,-3.6226695,12.210745,-5.8503294,-7.538286,0.28280345,-5.591583,-7.4503818,-3.9302013,2.0138724,english
-1.86E-05,0.04471391,64438,-398.6337,122.090034,8.019494,40.457092,20.893923,20.28616,-6.900705,-3.9276407,-7.4688973,-7.0447183,7.1006393,-1.0967457,1.449176,english
-1.06E-05,0.04504211,130091,-350.79672,108.32585,-21.825409,17.234608,14.291167,15.06712,-11.396633,8.41733,-13.175477,-4.552878,-0.91798943,-7.9347496,-0.5313635,english
8.29E-05,0.04065552,81031,-403.6028,79.50007,-16.106173,47.01155,14.774098,14.439685,5.5819573,-3.4325397,-1.7049842,12.013748,5.422406,1.2056966,-3.1367388,english
