pitch,energy,zero_crossings,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,lang
3.21E-06,0.06077746,81558,-363.75903,112.759224,22.888193,28.59241,22.237778,15.709979,-5.8167515,4.4900627,-3.24516,-3.3567865,-4.213081,-9.569481,1.0479255,french
-3.73E-07,0.03806385,125757,-309.31525,96.11559,-8.012248,36.833508,7.4299536,30.16414,-12.227545,16.103605,-14.270557,5.9802704,-7.3641343,1.9789253,-6.3469152,french
-5.38E-08,0.03646198,115923,-317.8485,102.27737,-14.378415,44.651802,3.5364747,24.336428,-15.366014,10.258761,-13.441803,4.562646,-3.9702427,-1.6533785,1.3707582,french
-6.36E-07,0.036318842,85416,-314.08923,100.47254,-10.973095,41.012463,4.8032613,31.934996,-14.004414,16.459251,-14.822239,5.5227895,-7.4829392,1.1114483,-4.648611,french
-0.000104935,0.081176676,43400,-290.6631,107.89002,4.329469,58.554153,18.389647,23.12138,9.171473,7.509745,-1.3933796,7.4797287,-7.2441645,7.1620502,-0.5557668,french
-4.35E-05,0.077505544,42970,-297.8324,117.62925,0.46862397,67.630905,9.163246,22.374872,4.1481905,0.9664339,2.7350905,-0.025380053,-0.9750343,4.5023375,-1.3605926,french
0.000142031,0.07227735,31794,-297.884,108.351776,1.031689,62.429714,14.954628,23.588657,9.417783,7.2357492,-1.4984307,8.532925,-7.4146833,6.4077787,0.8312095,french
-9.24E-05,0.072828375,73508,-293.08878,114.74187,-5.8169055,40.615746,35.624268,-14.140671,5.65465,2.287945,-7.757959,-2.7829306,1.1337749,6.88166,-13.919902,french
-7.75E-05,0.069356166,66600,-303.0944,127.49739,-17.728851,57.237648,12.803108,-12.522554,3.1453047,-1.2024214,-5.8892174,-0.19525221,8.774097,-5.5110297,-0.5625282,french
-8.63E-05,0.06860504,47080,-302.33063,124.266365,-15.656613,49.32817,28.760454,-9.149669,1.1078492,4.127918,-9.594755,-2.3530235,1.2585827,6.348944,-12.7991905,french
0.000199545,0.17003475,72104,-250.62929,117.3697,2.2580767,46.57842,13.16841,35.41338,-1.9579922,12.622255,2.2388449,1.4355485,5.3870993,-4.0874696,-1.310784,french
0.000192309,0.1628518,72694,-254.36484,121.79034,0.10677926,50.94559,12.24233,30.673618,-7.9588184,13.044264,-1.7101917,0.964579,4.1811376,-9.218578,6.877641,french
0.000160261,0.15837513,48614,-253.68803,121.038925,1.1893446,47.831314,12.3840885,35.77186,-1.7700797,10.483983,3.4841206,-0.9032591,7.082531,-6.1720247,-0.4267927,french
3.46E-06,0.045321465,117964,-339.3638,76.37835,-21.057438,29.747412,-4.2246885,4.584995,-5.3359118,-9.841723,-6.798785,-7.7667594,-9.323132,-0.36651427,-4.701201,french
3.00E-06,0.043637514,118126,-347.2351,77.04065,-23.662601,30.747526,-10.787957,2.6909258,-12.084787,-11.338673,-5.830389,-9.74343,-4.6122117,-1.6709951,-9.890381,french
2.24E-06,0.043717448,80929,-337.1633,80.174126,-22.923214,30.959938,-4.0693874,5.0607815,-6.7746687,-10.858033,-6.4848204,-8.813312,-9.619597,-0.41253033,-4.8217745,french
3.47E-05,0.047796283,42761,-320.3023,93.701035,2.3152783,28.88892,25.699076,18.792978,5.783737,9.022107,5.497834,8.225957,-1.7751511,14.864926,0.4345085,french
2.37E-05,0.045752488,40753,-327.46194,100.12657,-3.8452468,39.208138,21.18441,15.867289,4.2938857,7.4736595,9.026054,3.9065125,8.123806,12.0505085,3.6130047,french
-0.000161332,0.044390824,31773,-323.37463,98.22611,-3.3189425,32.806698,23.490788,19.34639,5.1005144,8.362136,5.6065345,7.6219735,-2.1831446,14.337969,1.4645702,french
2.07E-07,0.05672448,42651,-318.69736,188.73935,-30.403875,9.699651,14.743098,-17.961298,0.5931401,-7.5365252,-11.751514,-5.752704,-10.199215,-2.271322,-8.118557,french
1.88E-08,0.054163985,42847,-316.48593,184.46104,-39.734894,14.504358,4.6987844,-20.61413,0.9570354,-13.69034,-9.829172,-6.7169843,-9.048734,-3.7108572,-13.068525,french
