pitch,energy,zero_crossings,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,lang
7.33E-06,0.061304726,75008,-352.09338,123.12139,30.03001,30.703669,21.127026,18.05072,0.7598207,4.632625,-1.0343403,-4.114024,-5.824898,-7.8596025,-1.9852899,polish
-2.73E-06,0.059649773,100717,-321.30188,135.60481,-26.954311,25.14254,13.437629,-15.025812,4.5295615,-17.954563,-16.025967,1.8340441,-13.464508,-12.569111,-6.5969844,polish
-2.14E-06,0.056988414,100989,-321.41907,130.15154,-29.739254,28.268484,1.8392721,-17.347094,-1.1128505,-25.034403,-7.787211,-2.1246479,-17.61847,-4.8325486,-1.2999889,polish
-3.59E-06,0.053906973,66233,-333.50873,143.42567,-30.656248,27.060308,13.17519,-16.218056,6.3381476,-18.67294,-16.136509,2.6287549,-14.406269,-12.154107,-6.4968114,polish
1.54E-08,0.052142076,50176,-348.35345,164.7889,-7.40715,24.601034,15.017907,-15.627279,-9.877395,-22.869415,-5.511322,0.3955073,-21.950478,-4.8293447,-3.359938,polish
-1.55E-08,0.04975665,48426,-344.12738,160.09456,-10.9300995,24.307777,1.9787207,-22.289042,-14.353673,-20.258923,1.0563767,-10.934693,-20.538612,1.5768116,-11.845996,polish
2.01E-07,0.047640648,34084,-354.02246,166.6624,-9.298762,25.441353,14.370175,-16.272148,-9.298041,-23.70693,-5.283974,0.9708429,-22.589691,-4.5469513,-3.3417144,polish
4.66E-07,0.046438776,73772,-351.43298,162.86382,0.31735584,24.761908,20.39203,-4.681121,-0.86109114,-15.838837,-6.3405924,1.4825401,-15.904188,-10.995799,-7.8159356,polish
4.24E-07,0.044333342,73334,-350.95523,163.24263,-5.1256895,27.242962,10.649484,-11.131188,-6.7573338,-18.55503,-1.9917339,-7.7786283,-19.337074,-3.952061,-4.555323,polish
2.77E-07,0.045225136,48050,-356.1544,163.63947,1.2577994,25.151403,20.439266,-4.847609,-1.3001897,-16.288755,-6.6670146,1.2564691,-16.033655,-11.015959,-7.714907,polish
1.59E-08,0.033616383,85931,-364.69046,121.55782,-25.727266,28.362225,13.271418,13.719865,-5.1660514,-1.1050587,-1.9752959,-10.503663,-14.54558,5.53977,-5.0550036,polish
8.43E-08,0.03225509,74996,-369.4102,122.947495,-31.8064,36.202717,6.646457,8.71572,-11.026684,-4.368581,-4.4996023,-18.274048,-0.7389197,-0.46960402,-10.953154,polish
-2.90E-07,0.032093275,60030,-368.29413,123.79992,-28.868053,30.726395,12.571457,13.170754,-4.0485,-2.8676143,0.12063904,-12.355017,-13.540839,4.655522,-3.7704153,polish
-7.77E-07,0.04367297,95363,-376.711,128.50772,-1.9764576,13.152304,22.152203,-1.9285531,-10.385154,-18.431799,-13.454832,-8.566971,-10.799539,-3.891477,-7.4921265,polish
-7.02E-07,0.041744847,95819,-375.46527,124.36949,-5.1167336,14.977317,13.993498,-12.665126,-18.189924,-19.912176,-9.488998,-8.031627,-7.940182,-3.4292147,-7.894689,polish
-1.09E-06,0.04016683,62613,-377.92514,126.81277,-0.52133834,13.345231,22.171005,-1.6787182,-10.667053,-18.58325,-13.852872,-8.831394,-10.572282,-4.0265365,-7.3220453,polish
0.000152332,0.06041306,69758,-319.18564,129.62878,-19.241808,30.573118,21.729969,3.6299703,0.935907,-1.6020534,19.267153,-4.906879,-5.0415874,17.764463,-5.075557,polish
0.000150723,0.05760657,70638,-317.98615,123.85251,-19.087442,34.80237,15.313416,0.8044318,-0.26521346,6.238148,15.391492,-11.80765,8.584906,9.583223,-12.104614,polish
0.000186074,0.055647034,49796,-325.97443,134.73076,-24.020618,33.72708,20.661076,2.9585097,2.1039612,-3.5947928,20.117647,-5.1524725,-6.1187587,18.818148,-5.962853,polish
2.49E-05,0.03686351,65775,-346.2804,132.21886,-29.731266,27.565084,6.0693145,24.82295,7.0400186,-6.317796,12.0164,2.8843317,16.59483,1.6787728,1.2283216,polish
2.63E-05,0.035432223,66117,-346.84085,128.25134,-31.977606,31.945839,6.636837,25.048885,-2.043569,0.55018264,15.256493,5.8311887,13.896602,-5.952231,8.254369,polish
2.00E-05,0.035368003,46215,-358.84335,147.29797,-43.012978,36.40893,0.932896,26.215471,6.063309,-8.897852,14.277119,0.12647833,18.451214,0.64429337,1.2122191,polish
-6.14E-05,0.038424943,129198,-383.09396,112.50263,-33.444813,22.695238,-1.072188,-12.799869,0.78209555,-42.133293,-17.866547,4.0797033,-21.517841,-7.6765504,-10.150725,polish
-6.81E-05,0.03674034,127982,-384.8201,106.24691,-35.822083,23.022676,-12.774925,-15.442075,-13.960185,-44.678288,0.047594257,-4.6768427,-24.12676,-3.8732173,-15.937599,polish
-5.50E-05,0.036969736,85218,-388.87726,121.21706,-38.058666,26.736588,-0.8960729,-14.707803,2.5004418,-43.99997,-18.372894,5.178648,-22.481672,-6.846724,-9.918746,polish
-7.68E-05,0.04399404,63396,-313.90704,129.93924,-25.473759,40.156532,19.535881,11.529113,-9.102394,10.574986,-1.4497257,-1.3895358,6.599993,3.5090032,0.20158388,polish
-8.50E-05,0.042201076,63543,-315.52252,128.91136,-27.602015,46.6822,13.367958,3.3301342,-6.613028,9.8205185,-2.3307104,2.1667295,9.204568,-1.4819118,2.399947,polish
-9.50E-05,0.04150055,44174,-316.13034,134.48552,-28.382061,43.20682,17.399656,12.940775,-10.838363,9.582365,-1.6415997,-1.9721112,6.705387,3.143451,0.27640635,polish
-3.05E-05,0.035354745,42896,-409.81378,160.12724,6.46748,-0.52555,19.369999,7.73869,13.489443,8.558475,-7.7164683,-1.8669792,1.9993852,-0.7429681,4.7487617,polish
-2.68E-05,0.03375277,42787,-407.40363,157.13414,-0.4829307,2.3712008,19.831081,7.8133616,11.9159155,-0.73335963,-9.082838,3.1603117,2.2097201,1.5855074,4.44027,polish
